,country,distance,plane_transport,content,amount,S1,S2,S3,alarm
201,Russia,1459.0058930431073,0,tiles,39.93994634337882,0,0,0,0
202,China,5039.643002522832,1,wood,4.609960381019771,1,0,0,0
203,Russia,3329.612533252432,0,tiles,5.485167632914734,0,0,1,1
204,Russia,1302.7068457225841,1,electrical,29.47015886826206,0,0,0,0
205,France,545.7688525453749,0,tiles,19.264608445431914,0,1,0,0
206,Russia,1309.6841195432958,1,tiles,34.79585178535882,1,0,1,1
207,China,5806.745348727089,0,wood,29.596687437694595,0,1,0,1
208,China,5039.643002522832,0,electrical,35.958061280372604,0,1,0,1
209,Russia,3329.612533252432,1,wood,2.8766287622325706,1,0,1,1
210,Russia,1585.3938077106507,0,tiles,45.860004001044075,0,1,1,1
211,Russia,3244.9694671188086,0,tiles,10.353789505872454,0,0,1,0
212,Russia,1309.6841195432958,0,wood,47.165813362886844,0,1,0,0
213,France,451.4114555404259,0,electrical,21.07733556590583,0,0,1,0
214,Russia,1585.3938077106507,1,tiles,14.407156875823564,0,0,1,0
215,Russia,3244.9694671188086,0,electrical,22.178378605288202,0,0,0,0
216,Russia,1585.3938077106507,1,electrical,34.72263187838326,1,0,1,1
217,France,348.1008185907204,0,wood,19.33122263068562,0,1,1,0
218,China,5527.314526302195,1,tiles,13.761114597759546,0,0,1,0
219,France,139.4848867958015,0,tiles,22.11576003560444,0,1,0,1
220,France,577.6060779866149,1,wood,17.560681437066467,1,0,0,1
221,Russia,3244.9694671188086,0,wood,31.262795329692178,0,0,1,1
222,France,139.4848867958015,1,tiles,22.017289921576026,1,0,1,0
223,China,5149.852621445619,0,tiles,42.53867100045812,0,1,0,0
224,France,451.4114555404259,0,electrical,45.78149097017386,0,1,1,1
225,Russia,1655.8258809842837,1,tiles,30.14653246253198,0,0,1,1
226,China,5039.643002522832,1,wood,33.446453067554536,1,0,0,0
227,China,5513.899770103283,1,wood,7.351456191409557,1,0,1,1
228,Russia,1459.0058930431073,1,electrical,29.58260810420878,0,0,1,0
229,France,406.41363707746166,0,tiles,35.32445140034111,0,1,1,0
230,Russia,1585.3938077106507,0,tiles,49.264590091413126,0,0,1,1
231,France,319.6989376015992,0,electrical,43.621381498265954,0,0,1,0
232,Russia,1655.8258809842837,1,electrical,14.26854699984188,0,0,1,1
233,Russia,1585.3938077106507,1,electrical,6.487551400358453,0,0,0,0
234,China,5039.643002522832,0,electrical,38.19263958681575,0,0,0,0
235,Russia,3230.2701541363235,1,tiles,12.680316788084466,1,0,1,1
236,Russia,1302.7068457225841,0,tiles,42.850003756622755,0,1,1,0
237,France,179.86194676153042,0,tiles,35.530980903920074,0,0,0,0
238,Russia,1302.7068457225841,0,electrical,17.42042367328815,0,1,1,1
239,China,5676.636569141746,0,wood,7.306952910755491,0,1,1,1
240,France,179.86194676153042,1,tiles,43.73256237014121,1,0,0,0
241,France,208.08720160782917,0,electrical,46.255159667463765,0,1,1,0
242,Russia,3329.612533252432,1,wood,3.887115534886194,0,0,1,0
243,Russia,1558.7508968735642,1,tiles,14.43609894187139,1,0,1,1
244,France,515.3718091999796,0,electrical,19.52382313258192,0,0,1,1
245,China,5039.643002522832,1,tiles,39.49578519318119,0,0,0,0
246,France,179.86194676153042,1,tiles,47.586039311345246,1,0,0,0
247,France,406.41363707746166,0,wood,44.180580465072616,0,1,1,0
248,China,5613.055991493615,1,electrical,42.2083486423116,0,0,0,0
249,China,5527.314526302195,0,wood,49.220656555015445,0,0,0,0
250,China,5039.643002522832,1,wood,26.953227257711685,1,0,0,0
251,Russia,3244.9694671188086,0,electrical,40.54999491527294,0,1,1,0
252,China,5806.745348727089,1,tiles,23.349744685916413,1,0,0,0
253,France,577.6060779866149,1,tiles,45.55187048034605,1,0,1,1
254,France,545.7688525453749,0,electrical,21.382681617497692,0,1,1,0
255,Russia,3230.2701541363235,1,electrical,38.34115645773152,1,0,1,1
256,China,5039.643002522832,0,wood,39.67951556735188,0,0,1,1
257,Russia,1395.7009506850163,1,electrical,24.294535140842886,1,0,1,1
258,France,179.86194676153042,1,tiles,15.589145686962473,1,0,1,1
259,Russia,1715.1331252278073,0,wood,6.538226501235015,0,1,1,0
260,Russia,1655.8258809842837,0,tiles,22.765462559606505,0,1,1,0
261,China,5806.745348727089,1,tiles,40.37198891077842,0,0,0,0
262,China,5513.899770103283,0,wood,8.546641510574927,0,0,0,0
263,France,577.6060779866149,1,tiles,23.682934799548814,1,0,0,1
264,China,5698.293705496943,0,electrical,14.142964566940925,0,1,1,0
265,Russia,1302.7068457225841,0,tiles,36.34990213841299,0,1,0,1
266,Russia,1395.7009506850163,1,tiles,4.865174242018316,0,0,1,1
267,Russia,1309.6841195432958,0,wood,32.797656706480524,0,1,1,0
268,France,515.3718091999796,1,wood,24.709387179855828,1,0,1,0
269,Russia,1459.0058930431073,0,electrical,8.062079461001545,0,0,1,1
270,France,632.7606025642748,1,wood,10.925348614866335,1,0,0,0
271,France,348.1008185907204,1,tiles,16.045638352097598,0,0,1,0
272,France,348.1008185907204,1,tiles,24.720398018284502,1,0,1,1
273,China,5149.852621445619,0,electrical,6.977781333986567,0,1,0,1
274,Russia,1715.1331252278073,0,tiles,2.276412392532701,0,0,1,1
275,France,545.7688525453749,1,wood,3.247206795009584,0,0,0,0
276,Russia,1395.7009506850163,0,tiles,13.834544582746615,0,0,1,0
277,France,515.3718091999796,1,wood,43.62572809731829,1,0,1,1
278,France,545.7688525453749,0,tiles,18.76336859910211,0,0,0,0
279,China,5806.745348727089,0,tiles,33.1709009257554,0,1,0,1
280,Russia,1302.7068457225841,0,tiles,4.435350397941121,0,0,1,1
281,China,5698.293705496943,1,tiles,11.015632730557865,1,0,0,0
282,China,5072.243582945506,1,tiles,37.227733791323246,0,0,1,0
283,China,5527.314526302195,1,tiles,44.2652930711757,0,0,0,0
284,Russia,1655.8258809842837,1,electrical,16.743910109635912,0,0,1,0
285,China,5727.468214827519,1,wood,18.08177769247195,1,0,0,0
286,Russia,3244.9694671188086,1,electrical,9.273960435644552,1,0,1,1
287,China,5513.899770103283,1,tiles,10.41189741533616,0,0,0,0
288,China,5527.314526302195,0,wood,32.695793585711584,0,0,0,0
289,China,5871.276335819262,1,wood,29.610609176105108,1,0,0,0
290,France,577.6060779866149,0,electrical,9.666182087558381,0,1,0,1
291,Russia,3393.347674966075,0,tiles,28.981906980541204,0,1,1,1
292,China,5871.276335819262,0,wood,12.766395092886244,0,0,0,0
293,China,5727.468214827519,1,wood,27.032146925244987,0,0,0,0
294,Russia,3244.9694671188086,0,wood,1.1191504934433205,0,0,1,1
295,France,577.6060779866149,1,tiles,25.975924624532112,1,0,0,1
296,France,632.7606025642748,1,wood,31.86606948534581,0,0,1,1
297,Russia,3244.9694671188086,1,electrical,8.15115661836607,1,0,1,1
298,France,179.86194676153042,1,wood,4.714726042723008,1,0,1,1
299,Russia,3230.2701541363235,1,tiles,3.8058083504581015,1,0,1,1
300,China,5214.5141165824625,1,electrical,38.83010033089317,1,0,1,0
301,France,319.6989376015992,0,wood,28.953908199473034,0,1,1,1
302,Russia,1302.7068457225841,0,tiles,48.40776802487977,0,0,1,1
303,France,515.3718091999796,1,tiles,37.97713362064143,1,0,1,0
304,France,406.41363707746166,1,wood,7.670453755823129,0,0,0,0
305,China,5072.243582945506,0,wood,20.37409263293253,0,0,0,0
306,France,515.3718091999796,1,wood,44.76821483398127,0,0,1,0
307,China,5871.276335819262,1,electrical,42.394485578275166,0,0,0,0
308,Russia,3329.612533252432,0,tiles,17.583886440415384,0,0,1,0
309,China,5214.5141165824625,0,wood,39.50585597470295,0,1,1,0
310,China,5149.852621445619,1,electrical,29.953884522931798,0,0,0,0
311,China,5676.636569141746,0,electrical,15.32560835224215,0,0,1,0
312,France,139.4848867958015,1,wood,17.195466728365197,1,0,0,0
313,Russia,3230.2701541363235,0,wood,24.129220858534342,0,1,1,0
314,France,712.7933786572075,0,tiles,32.477611546387855,0,0,1,1
315,Russia,1302.7068457225841,0,tiles,6.933707003038727,0,0,1,1
316,Russia,3393.347674966075,0,wood,17.36659514247492,0,1,1,0
317,France,515.3718091999796,0,electrical,12.477726600270621,0,0,0,0
318,China,5613.055991493615,1,wood,37.15726344494638,1,0,1,0
319,France,319.6989376015992,1,tiles,29.480540148593473,0,0,0,0
320,Russia,3230.2701541363235,0,wood,46.619325976209424,0,0,1,1
321,China,5698.293705496943,1,electrical,38.46186371374328,1,0,0,0
322,Russia,3244.9694671188086,1,electrical,38.55208569817478,1,0,1,1
323,Russia,1655.8258809842837,1,wood,11.723767881525573,1,0,1,1
324,Russia,1302.7068457225841,0,electrical,14.378049357677027,0,1,1,0
325,Russia,1558.7508968735642,1,wood,13.87326090229808,1,0,1,0
326,France,208.08720160782917,0,electrical,20.463452754778313,0,1,1,0
327,France,712.7933786572075,1,electrical,27.340938394396296,1,0,0,1
328,France,515.3718091999796,1,tiles,1.5406483226420753,0,0,0,0
329,France,319.6989376015992,1,wood,35.447201893359264,1,0,1,1
330,Russia,3329.612533252432,1,tiles,29.885522341492536,1,0,1,0
331,China,5676.636569141746,1,tiles,48.52421331555388,0,0,1,0
332,China,5871.276335819262,1,wood,13.854010944314934,0,0,0,0
333,China,5806.745348727089,0,electrical,15.00272768338042,0,0,1,1
334,China,5513.899770103283,0,electrical,16.695873043482308,0,0,0,0
335,China,5214.5141165824625,0,wood,3.0318244397326284,0,1,1,0
336,China,5698.293705496943,0,tiles,28.172923253767575,0,0,1,1
337,France,545.7688525453749,1,wood,23.771695586663437,1,0,1,0
338,China,5727.468214827519,0,electrical,38.84304002864223,0,1,0,1
339,Russia,3393.347674966075,1,electrical,46.5425259475283,1,0,1,1
340,France,577.6060779866149,0,electrical,34.939884213028606,0,1,1,1
341,Russia,1309.6841195432958,1,wood,35.06675387894615,0,0,1,0
342,Russia,1558.7508968735642,1,tiles,18.112522439099084,1,0,1,0
343,France,406.41363707746166,1,wood,5.94692969740171,1,0,1,1
344,France,208.08720160782917,0,electrical,7.758289254219411,0,1,1,0
345,France,451.4114555404259,1,electrical,32.30532874506474,0,0,1,1
346,China,5072.243582945506,1,electrical,1.9999499148537774,0,0,1,0
347,China,5806.745348727089,1,tiles,38.71502624491301,1,0,0,0
348,Russia,3329.612533252432,0,wood,44.15181606862208,0,0,1,1
349,China,5072.243582945506,1,electrical,43.633833729638745,0,0,0,0
350,France,208.08720160782917,0,electrical,2.1574880795105567,0,1,1,1
351,Russia,3230.2701541363235,0,electrical,47.66060220373966,0,1,1,0
352,Russia,1395.7009506850163,0,wood,9.619958816453712,0,1,1,0
353,France,545.7688525453749,1,electrical,36.31923979196174,1,0,0,1
354,France,451.4114555404259,0,wood,26.772212569321134,0,1,1,0
355,Russia,1309.6841195432958,1,tiles,17.266982386567005,0,0,1,0
356,France,545.7688525453749,0,tiles,28.090670656576894,0,0,1,0
357,France,712.7933786572075,0,tiles,1.9202707782096435,0,1,1,0
358,China,5806.745348727089,1,wood,23.05548447352654,0,0,0,0
359,China,5214.5141165824625,0,wood,31.940745076829415,0,0,0,0
360,Russia,1558.7508968735642,1,wood,39.909702171743504,0,0,1,0
361,Russia,1309.6841195432958,0,tiles,22.57670054476017,0,0,0,0
362,China,5613.055991493615,1,tiles,27.92162438580603,0,0,0,0
363,Russia,1395.7009506850163,0,electrical,35.78144579691352,0,1,1,0
364,Russia,1395.7009506850163,0,electrical,37.07102534239458,0,1,1,1
365,Russia,3244.9694671188086,0,tiles,21.609272126183114,0,1,1,1
366,France,515.3718091999796,0,electrical,18.52791836557239,0,0,0,0
367,France,545.7688525453749,0,wood,12.821082512922688,0,1,1,0
368,China,5527.314526302195,1,wood,24.959999406355518,1,0,0,1
369,Russia,1309.6841195432958,1,wood,5.6760632793636985,1,0,1,0
370,China,5149.852621445619,1,tiles,40.71812795424983,1,0,1,1
371,China,5072.243582945506,1,wood,45.95280236534504,0,0,1,1
372,France,577.6060779866149,0,tiles,31.221061904022655,0,1,1,1
373,China,5513.899770103283,1,wood,44.09056802682692,1,0,0,0
374,France,139.4848867958015,1,electrical,30.31201522784351,0,0,1,1
375,China,5513.899770103283,1,wood,22.028435889182965,1,0,0,0
376,Russia,1302.7068457225841,1,tiles,1.2074510076848326,0,0,1,0
377,France,406.41363707746166,1,electrical,5.79261026389746,1,0,1,1
378,Russia,1309.6841195432958,0,electrical,39.61879631784489,0,0,1,1
379,Russia,1459.0058930431073,1,tiles,19.37352977549807,1,0,1,0
380,China,5513.899770103283,0,tiles,18.568563995754555,0,1,0,1
381,China,5698.293705496943,1,wood,29.211405793912,1,0,0,0
382,China,5527.314526302195,0,tiles,41.993097976473734,0,0,0,0
383,Russia,3329.612533252432,1,electrical,21.101327451612747,0,0,1,1
384,Russia,1309.6841195432958,1,wood,39.185571014189804,0,0,1,0
385,China,5698.293705496943,1,tiles,21.923119285311422,0,0,0,0
386,Russia,1395.7009506850163,1,tiles,45.49993886518901,1,0,0,1
387,France,577.6060779866149,0,wood,5.730209313561026,0,1,1,1
388,Russia,1655.8258809842837,1,tiles,43.69066019876622,0,0,1,1
389,France,139.4848867958015,0,wood,13.364327814003333,0,1,1,1
390,China,5727.468214827519,1,wood,14.037021909633717,1,0,0,1
391,Russia,1585.3938077106507,0,tiles,44.071840582609504,0,0,1,1
392,France,208.08720160782917,0,wood,37.252227970974985,0,1,1,0
393,Russia,1395.7009506850163,1,electrical,44.06581315938994,0,0,1,1
394,France,577.6060779866149,0,electrical,23.60542637598419,0,1,1,0
395,Russia,3230.2701541363235,0,wood,6.343359676561695,0,0,1,0
396,Russia,1395.7009506850163,1,tiles,42.417427476531834,1,0,1,1
397,China,5676.636569141746,1,electrical,37.536161770494544,1,0,0,1
398,China,5149.852621445619,0,tiles,32.880753133195185,0,1,0,1
399,Russia,3244.9694671188086,0,tiles,19.621626921250794,0,0,1,1
